sudo 1.9.0-1
sysfsutils 2.1.0-11
systemd 245.5-2
systemd-fsck-silent 239-1
systemd-libs 245.5-2
systemd-sysvcompat 245.5-2
tar 1.32-3
texinfo 6.7-3
thin-provisioning-tools 0.8.5-3
tlp 1.3.1-2
tzdata 2020a-1
usbutils 012-2
util-linux 2.35.1-2.1
v86d 0.1.10-5.1
vi 1:070224-4
wayland 1.18.0-2
wget 1.20.3-3
which 2.21-5
wireless-regdb 2019.06.03-2
wpa_supplicant 2:2.9-7
xcb-proto 1.14-1
xfsprogs 5.6.0-2
xorgproto 2020.1-1
xz 5.2.5-1
zlib 1:1.2.11-4
zsh 5.8-1
zsh-autosuggestions 0.6.4-1
zsh-completions 0.31.0-1
zsh-history-substring-search 1.0.2-1
zsh-syntax-highlighting 0.7.1-1
zstd 1.4.5-1
